Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,clean_text,polarity,subjectivity,sentiment_label,topic_id_nmf,topic_id_lda,hashtags_list
 Enjoying a beautiful day at the park!              , Positive  ,1/15/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,enjoying beautiful day park,0.675,0.8,positive,1,9,"['#Nature', '#Park']"
 Traffic was terrible this morning.                 , Negative  ,1/15/2023 8:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,traffic terrible morning,-1.0,1.0,negative,0,9,"['#Traffic', '#Morning']"
 Just finished an amazing workout! 💪               , Positive  ,1/15/2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,finished amazing workout flexed biceps,0.6000000000000001,0.9,positive,8,9,"['#Fitness', '#Workout']"
 Excited about the upcoming weekend getaway!        , Positive  ,1/15/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,excited upcoming weekend getaway,0.375,0.75,positive,3,9,"['#Travel', '#Adventure']"
 Trying out a new recipe for dinner tonight.        , Neutral   ,1/15/2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,trying new recipe dinner tonight,0.13636363636363635,0.45454545454545453,positive,2,9,"['#Cooking', '#Food']"
 Feeling grateful for the little things in life.    , Positive  ,1/16/2023 9:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,feeling grateful little thing life,-0.1875,0.5,negative,4,9,"['#Gratitude', '#PositiveVibes']"
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,1/16/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,rainy day call cozy blanket hot cocoa,0.02500000000000001,0.8,positive,1,9,"['#RainyDays', '#Cozy']"
 The new movie release is a must-watch!             , Positive  ,1/16/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,new movie release must watch,0.13636363636363635,0.45454545454545453,positive,2,9,"['#MovieNight', '#MustWatch']"
 Political discussions heating up on the timeline.  , Negative  ,1/17/2023 8:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,political discussion heating timeline,0.0,0.1,neutral,0,9,"['#Politics', '#Debate']"
 Missing summer vibes and beach days.               , Neutral   ,1/17/2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,missing summer vibe beach day,-0.2,0.05,negative,1,9,"['#Summer', '#BeachDays']"
 Just published a new blog post. Check it out!      , Positive  ,1/17/2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,published new blog post check,0.13636363636363635,0.45454545454545453,positive,2,9,"['#Blogging', '#NewPost']"
 Feeling a bit under the weather today.             , Negative  ,1/18/2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,feeling bit weather today,0.0,0.0,neutral,5,9,"['#SickDay', '#Health']"
 Exploring the city's hidden gems.                  , Positive  ,1/18/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,exploring city hidden gem,-0.16666666666666666,0.3333333333333333,negative,2,9,"['#CityExplore', '#HiddenGems']"
" New year, new fitness goals! 💪                    ", Positive  ,1/18/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,new year new fitness goal flexed biceps,0.13636363636363635,0.45454545454545453,positive,2,9,"['#NewYear', '#FitnessGoals']"
 Technology is changing the way we live.            , Neutral   ,1/19/2023 9:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,technology changing way live,0.13636363636363635,0.5,positive,5,9,"['#Tech', '#Innovation']"
 Reflecting on the past and looking ahead.          , Positive  ,1/19/2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,reflecting past looking ahead,-0.25,0.25,negative,6,9,"['#Reflection', '#Future']"
 Just adopted a cute furry friend! 🐾              , Positive  ,1/19/2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,adopted cute furry friend paw print,0.5,1.0,positive,3,5,"['#PetAdoption', '#FurryFriend']"
 Late-night gaming session with friends.            , Positive  ,1/20/2023 0:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,late night gaming session friend,-0.3,0.6,negative,9,5,"['#Gaming', '#LateNight']"
 Attending a virtual conference on AI.              , Neutral   ,1/20/2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,attending virtual conference,0.0,0.0,neutral,7,9,"['#AI', '#TechConference']"
 Winter blues got me feeling low.                   , Negative  ,1/20/2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,winter blue got feeling low,0.0,0.2,neutral,5,9,"['#WinterBlues', '#Mood']"
 Sipping coffee and enjoying a good book.           , Positive  ,1/21/2023 8:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,sipping coffee enjoying good book,0.6,0.6000000000000001,positive,6,9,"['#Reading', '#CoffeeTime']"
 Exploring the world of virtual reality.            , Positive  ,1/21/2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,exploring world virtual reality,0.0,0.0,neutral,6,9,"['#VR', '#VirtualReality']"
 Productive day ticking off my to-do list.          , Positive  ,1/21/2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,productive day ticking list,0.0,0.0,neutral,1,9,"['#Productivity', '#WorkFromHome']"
 Just finished a challenging workout routine.       , Positive  ,1/22/2023 9:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,finished challenging workout routine,0.5,1.0,positive,8,9,"['#Fitness', '#ChallengeAccepted']"
 Celebrating a milestone at work! 🎉               , Positive  ,1/22/2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,celebrating milestone work party popper,0.0,0.0,neutral,3,9,"['#Career', '#Milestone']"
 Sunday brunch with friends.                        , Positive  ,1/22/2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,sunday brunch friend,0.0,0.0,neutral,3,5,"['#Brunch', '#Friends']"
 Learning a new language for personal growth.       , Positive  ,1/23/2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,learning new language personal growth,0.06818181818181818,0.37727272727272726,positive,2,5,"['#LanguageLearning', '#PersonalGrowth']"
 Quiet evening with a good book.                    , Positive  ,1/23/2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,quiet evening good book,0.35,0.4666666666666667,positive,6,9,"['#Reading', '#QuietTime']"
 Reflecting on the importance of mental health.     , Positive  ,1/24/2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,reflecting importance mental health,-0.1,0.2,negative,6,9,"['#MentalHealth', '#SelfCare']"
 New painting in progress! 🎨                       , Positive  ,1/24/2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,new painting progress artist palette,0.13636363636363635,0.45454545454545453,positive,2,9,"['#Art', '#PaintingInProgress']"
 Weekend road trip to explore scenic views.         , Positive  ,1/24/2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,weekend road trip explore scenic view,0.0,0.0,neutral,2,9,"['#RoadTrip', '#ScenicViews']"
 Enjoying a cup of tea and watching the sunset.     , Positive  ,1/25/2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,enjoying cup tea watching sunset,0.5,0.6,positive,7,9,"['#TeaTime', '#Sunset']"
